"shop_id";"shop_earnings";"total_items_sold";"date"
2;33023.5;27.0;"03/09/2019"
3;22481.0;11.0;"03/09/2019"
4;9787.0;13.0;"03/09/2019"
5;11046.0;15.0;"03/09/2019"
6;38784.0;50.0;"03/09/2019"
7;17457.0;21.0;"03/09/2019"
10;7569.0;10.0;"03/09/2019"
12;70732.133333333;72.0;"03/09/2019"
14;11152.0;17.0;"03/09/2019"
15;41713.0;31.0;"03/09/2019"
16;39842.0;22.0;"03/09/2019"
18;11797.0;32.0;"03/09/2019"
19;20336.0;20.0;"03/09/2019"
21;74939.5;60.0;"03/09/2019"
22;41555.0;47.0;"03/09/2019"
24;18985.0;23.0;"03/09/2019"
25;93932.0;104.0;"03/09/2019"
26;39675.0;37.0;"03/09/2019"
27;52108.0;60.0;"03/09/2019"
28;58538.0;82.0;"03/09/2019"
29;28579.0;24.0;"03/09/2019"
31;89366.0;134.0;"03/09/2019"
34;4039.0;6.0;"03/09/2019"
35;29779.0;28.0;"03/09/2019"
37;70701.0;21.0;"03/09/2019"
38;24494.0;22.0;"03/09/2019"
39;10123.0;18.0;"03/09/2019"
41;12280.0;10.0;"03/09/2019"
42;109288.0;83.0;"03/09/2019"
44;47690.0;17.0;"03/09/2019"
45;16369.0;32.0;"03/09/2019"
46;31061.8;33.0;"03/09/2019"
47;26714.0;26.0;"03/09/2019"
48;10915.0;21.0;"03/09/2019"
49;11928.0;11.0;"03/09/2019"
50;47336.0;23.0;"03/09/2019"
51;3095.0;8.0;"03/09/2019"
52;21837.34;24.0;"03/09/2019"
53;16631.0;26.0;"03/09/2019"
54;39784.0;65.0;"03/09/2019"
55;24204.2;60.0;"03/09/2019"
56;15703.0;25.0;"03/09/2019"
57;73078.0;108.0;"03/09/2019"
58;45106.0;56.0;"03/09/2019"
59;37451.0;37.0;"03/09/2019"
2;33023.5;27.0;"03/12/2019"
3;22481.0;11.0;"03/12/2019"
4;9787.0;13.0;"03/12/2019"
5;11046.0;15.0;"03/12/2019"
6;38784.0;50.0;"03/12/2019"
7;17457.0;21.0;"03/12/2019"
10;7569.0;10.0;"03/12/2019"
12;70732.133333333;72.0;"03/12/2019"
14;11152.0;17.0;"03/12/2019"
15;41713.0;31.0;"03/12/2019"
16;39842.0;22.0;"03/12/2019"
18;11797.0;32.0;"03/12/2019"
19;20336.0;20.0;"03/12/2019"
21;74939.5;60.0;"03/12/2019"
22;41555.0;47.0;"03/12/2019"
24;18985.0;23.0;"03/12/2019"
25;93932.0;104.0;"03/12/2019"
26;39675.0;37.0;"03/12/2019"
27;52108.0;60.0;"03/12/2019"
28;58538.0;82.0;"03/12/2019"
29;28579.0;24.0;"03/12/2019"
31;89366.0;134.0;"03/12/2019"
34;4039.0;6.0;"03/12/2019"
35;29779.0;28.0;"03/12/2019"
37;70701.0;21.0;"03/12/2019"
38;24494.0;22.0;"03/12/2019"
39;10123.0;18.0;"03/12/2019"
41;12280.0;10.0;"03/12/2019"
42;109288.0;83.0;"03/12/2019"
44;47690.0;17.0;"03/12/2019"
45;16369.0;32.0;"03/12/2019"
46;31061.8;33.0;"03/12/2019"
47;26714.0;26.0;"03/12/2019"
48;10915.0;21.0;"03/12/2019"
49;11928.0;11.0;"03/12/2019"
50;47336.0;23.0;"03/12/2019"
51;3095.0;8.0;"03/12/2019"
52;21837.34;24.0;"03/12/2019"
53;16631.0;26.0;"03/12/2019"
54;39784.0;65.0;"03/12/2019"
55;24204.2;60.0;"03/12/2019"
56;15703.0;25.0;"03/12/2019"
57;73078.0;108.0;"03/12/2019"
58;45106.0;56.0;"03/12/2019"
59;37451.0;37.0;"03/12/2019"
