track_name,rating_count_tot,user_rating
"Head Soccer",481564,5
"Plants vs. Zombies",426463,5
"Sniper 3D Assassin: Shoot to Kill Gun Game",386521,5
"Geometry Dash Lite",370370,5
"Infinity Blade",326482,5
"Geometry Dash",266440,5
"Domino's Pizza USA",258624,5
"CSR Racing 2",257100,5
"Pictoword: Fun 2 Pics Guess What's the Word Trivia",186089,5
"Plants vs. Zombies HD",163598,5
"The Room",143908,5
"Iron Force",141634,5
"Sniper Shooter: Gun Shooting Games",134080,5
"Flashlight Ⓞ",130450,5
"Pic Collage - Picture Editor & Photo Collage Maker",123433,5
"Zappos: shop shoes & clothes, fast free shipping",103655,5
"Credit Karma: Free Credit Scores, Reports & Alerts",101679,5
"PewDiePie's Tuber Simulator",90851,5
"We Heart It - Fashion, wallpapers, quotes, tattoos",90414,5
"Google Photos - unlimited photo and video storage",88742,5
"Color Therapy Adult Coloring Book for Adults",84062,5
"Blackbox - think outside the box",80058,5
"Egg, Inc.",79074,5
"Flight Pilot Simulator 3D: Flying Game For Free",60360,5
"Logos Quiz -Guess the most famous brands, new fun!",58640,5
"Elevate - Brain Training and Games",58092,5
"HB2 PLUS",54073,5
"Tricky Test 2™: Genius Brain?",45578,5
"Ski Safari",45121,5
"The Room Two",36809,5
"Gin Rummy Plus - Multiplayer Online Card Game",36355,5
"Yu-Gi-Oh! Duel Links",35570,5
"FotoRus -Camera & Photo Editor & Pic Collage Maker",32558,5
"Arrow Ambush",32020,5
"Crazy Kitchen",30704,5
"Yoga Studio",28439,5
"TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF",28388,5
"Browser and File Manager for Documents",27750,5
"FreePrints – Photos Delivered",26060,5
"SMILE Inc.",25859,5
"Triller - Music Video & Film Maker",25683,5
"The Room Three",23878,5
"Castle Crush: Epic Strategy Game",23148,5
"Shopular Coupons, Weekly Deals for Target, Walmart",22729,5
"Sky Guide: View Stars Night or Day",22100,5
"Vlogger Go Viral - Clicker Game & Vlog Simulator",21977,5
"Memrise: learn languages",20383,5
"Sugar Smash: Book of Life",20254,5
"Ghost Lens+Scary Photo Video Edit&Collage Maker",18316,5
"ipsy - Makeup, subscription and beauty tips",17489,5
Bruh-Button,17487,5
"X-War: Clash of Zombies",17254,5
"Sworkit - Custom Workouts for Exercise & Fitness",16819,5
Deemo,15855,5
"NOAA Hi-Def Radar Pro -  Storm Warnings, Hurricane Tracker & Weather Forecast",15809,5
"Duet Game",14407,5
"Fieldrunners 2",14214,5
"VPN Proxy Master - Unlimited WiFi security VPN",13674,5
"CPlus for Craigslist app - mobile classifieds",13345,5
"Artisto – Video and Photo Editor with Art Filters",12963,5
Headspace,12819,5
"InShot Video Editor Music, No Crop, Cut",12779,5
"Ebates: Cash Back, Coupons & Rebate Shopping App",12617,5
"Wayfair - Shop Furniture, Home Decor, Daily Sales",12578,5
"Optical Inquisitor 17+",12099,5
"Solitaire Ⓞ",12077,5
"Word Chums",11536,5
":) Sudoku +",11447,5
"Kingdom Rush Frontiers HD",11447,5
"War Machines: 3D Multiplayer Tank Shooting Game",11325,5
"CARROT To-Do - Talking Task List",11322,5
"Bee Brilliant",11151,5
"PewDiePie: Legend of the Brofist",10828,5
"Chess Pro - with coach",10619,5
"War Tortoise",10555,5
"Endless Alphabet",10534,5
"5K Runner: 0 to 5K Run Trainer. Couch potato to 5K",10368,5
"Monster Super League",10368,5
"Stupid Zombies 3",10159,5
"Attack the Light - Steven Universe Light RPG",10132,5
"Word Swag - Cool fonts & typography generator",9731,5
ASOS,9725,5
"Evolution Calculator - CP & XP - for Pokemon GO!",9269,5
"Tank.IO War - Free Tank games of snake",9259,5
"Dragon Island Blue",9119,5
"Cut the Rope: Time Travel",9003,5
"Despicable Bear - Top Beat Action Game",8872,5
"8fit - Workouts, meal plans and personal trainer",8730,5
"Romwe shopping- Fashion Clothing for women",8558,5
"The Guardian",8176,5
Cytus,7925,5
"Dreamdays: Count Down to the Days that Matter",7863,5
"Super Sharp",7776,5
"Burrito Bison: Launcha Libre",7740,5
"Dan The Man (Retro Action Platformer)",7527,5
"BeautyPlus - Selfie Camera for a Beautiful Image",7503,5
"Super Cat Tales",7423,5
"e-Sword HD: Bible Study Made Easy",7309,5
"Slots: DoubleUp Free Slot Games - Slot Machines",7177,5
"Tobuscus Adventures: Wizards",6741,5
"Pixel Color Ball Fell From The Sky",6493,5
Meitu,6478,5
"Lara Croft GO",6431,5
"Good Knight Story",6282,5
"Kingdom Rush Origins HD",6209,5
"ChineseSkill -Learn Mandarin Chinese Language Free",6077,5
"Fish Mania™",6038,5
"Tiny Scanner+ - PDF scanner to scan document, receipt & fax",5611,5
Nike+,5464,5
"▻Sudoku +",5397,5
"Grumpy Cat's Worst Game Ever",5170,5
"J&J Official 7 Minute Workout",4861,5
"Rocket Video for Google Cast and Chromecast to TV",4806,5
"Tap the Frog",4802,5
"PhotoToaster - Photo Editor, Filters, Effects and Borders",4748,5
"Productive habits & daily goals tracker",4736,5
"Fitbod Workout Log: Strength Lifting Bodybuilding",4668,5
"Crazy Cake Swap",4638,5
"Dungeon Raid",4401,5
"Atom – Movie Tickets and Showtimes",4105,5
"Mini Metro",4064,5
"Slots: Hot Vegas Slot Machines - Free Slot Games",3938,5
"Printicular Print Photos - 1 Hour Pickup",3909,5
"Kingdom Rush Origins",3898,5
"Slots - Lucky Win Casino Games & Slot Machines",3807,5
"J23 - Jordan Release Dates and History",3775,5
Zip—Zap,3711,5
"Cool Wallpapers for Pokemon",3694,5
"Cookie Cats - a singing puzzle adventure",3687,5
"My Challenge Tracker",3682,5
"Runtastic Push Ups PRO: Workouts, Trainer, Counter",3434,5
"Bodyweight Training: You Are Your Own Gym",3326,5
"Deluxe Moon Pro - Moon Phases Calendar",3312,5
"Knots 3D",3196,5
"Honest App: Shop baby & diaper products",3173,5
"Buffalo Slots - Royal Casino Fun Slot Machines!",3153,5
"Cookie Clickers 2",2912,5
"Sea Hero Quest",2908,5
"Ab & Core Sworkit - Free Workout Trainer",2901,5
"Solitaire ∞",2865,5
"Love You To Bits",2833,5
"Skiing Yeti Mountain",2830,5
"Flow Free: Hexes",2791,5
"Slots: VIP Deluxe Slots Machines - Free Slot Games",2732,5
"Infect Them All 2 : Zombies",2630,5
"Simple Habit",2494,5
"OPUS: The Day We Found Earth",2491,5
"Meditation Studio – Guided Meditations and Courses",2491,5
"Donut Dazzle",2317,5
"Epic Jackpot Slots: Slot Machines & Bonus Games",2291,5
Pinchworm,2288,5
"e-Sword LT: Bible Study on the Go",2152,5
"Weaphones WW2: Firearms Simulator",2122,5
喜马拉雅FM（听书社区）电台有声小说相声英语,2111,5
"Patternator Pattern Maker Backgrounds & Wallpapers",2092,5
"BeautyCam - AR Carnie selfie",2082,5
"Memorado Brain Training for Memory & Mindfulness",2067,5
⋆Solitaire⋆,2059,5
"Coin Dozer: Casino",2024,5
"100 PICS Coloring - free color in book game app",1929,5
"A Noble Circle",1886,5
"Forest: Stay focused, be present",1869,5
"The 7 Second Challenge",1838,5
"Stickman Basketball 2017",1835,5
"KIXIFY - Buy & Sell Sneakers",1735,5
Downwell,1679,5
快看漫画,1647,5
Severed,1580,5
"Forest Rescue 2: Friends United Match 3 Puzzle",1505,5
"Caveman Feast - 250 Paleo Recipes",1501,5
"Cafe Story - Play Cooking & Farming Game",1498,5
"BuzzFeed Video",1492,5
"Five Minute Journal",1492,5
"Vintage Slots Las Vegas - Old Slot Machine Games!",1474,5
"Slots: Fast Fortune Slot Machines & Fun Slot Games",1474,5
"4x4 Dirt Track Trials Forest Driving Parking Sim",1441,5
"Pumped BMX 2",1440,5
"Stickman Base Jumper 2",1362,5
酷我音乐HD-无损在线播放,1340,5
"Suрer Toss The Turtle",1339,5
"Bullet Hell Monday",1296,5
"Mindfulness Daily",1245,5
"Thomas Was Alone",1226,5
"DANDY DUNGEON Legend of Brave Yamada",1204,5
"Blink Health",1198,5
"Fit Men Cook - Healthy Recipes",1187,5
"Runtastic Squats PRO – Workouts, Trainer & Counter",1186,5
"Slots: Get Rich Slot Machines Casino Slot Games",1168,5
"Pumped: BMX",1164,5
"Louvre HD",1129,5
"Sunny ~ Calm wave & ocean sounds to Sleep Relax Meditate on the beach with rain and sea birds",1079,5
"Bike Traffic Rider an Extreme Real Endless Road Racer Racing Game",1052,5
"Majiang Mahjong（单机+川麻+二人+武汉+国标）",1007,5
"Papers, Please",970,5
Pitu,968,5
"Butt Sworkit - Free Workout Trainer to tone & lift",960,5
""HOOK"",959,5
"Sniper Shooter Pro by Fun Games For Free",945,5
Justmoji,914,5
"Galaxy Trucker",901,5
"King of Dragon Pass",882,5
"VPN Go - Safe Fast & Stable VPN Proxy",881,5
"Able Black",876,5
"KSI Unleashed",854,5
"Clashy Colors",854,5
"SLOTS: TRUMP vs. HILLARY CLINTON Free Slot Games",834,5
"Infect Them All : Vampires",826,5
"美柚 - 女生助手",804,5
"Daily Audio Bible App",796,5
"VPN Proxy Master Pro",771,5
"Oh She Glows - Healthy Plant-Based Recipes",764,5
"Forks Over Knives - Healthy Recipes & Easy Meals",756,5
"Furdemption - A Quest For Wings",703,5
"Demi Lovato - Zombarazzie Adventure",690,5
"The Photographer's Ephemeris",663,5
"Mystic Castle - the Simplest & Best RPG and Adventure Game",650,5
"Beat Stomper",646,5
"CCW – Concealed Carry 50 State Guide",644,5
"Moodnotes - Thought Journal / Mood Diary",625,5
中华万年历-2亿用户首选的日历软件,598,5
Tenuto,562,5
蘑菇街-网红直播搭配的购物特卖平台,558,5
SplitMoji,537,5
"Door Kickers",515,5
Color•多彩手帐,485,5
"Jurassic GO - Dinosaur Snap Adventures",477,5
"Neon Chrome",439,5
"VERSUS: The Lost Ones",423,5
"Blackthorn Castle",399,5
"Lewandowski: Football Star",385,5
"Hidden my game by mom - escape room",311,5
"Sorcery! 2",308,5
"Patterning : Drum Machine",306,5
"Beat da Beat",301,5
"Burger Shop",299,5
"Frax HD - The First Realtime Immersive Fractals",298,5
"Model 15",298,5
"Rule with an Iron Fish: A Pirate Fishing RPG",286,5
"Muhammad Ali: Puzzle King",277,5
"内涵段子 - 精选搞笑图片、视频",275,5
"Dungeon Warfare",264,5
AZZL,261,5
"Galaxy Trucker Pocket",259,5
"League of Light: Silent Mountain - A Hidden Object Mystery (Full)",256,5
"Day of the Tentacle Remastered",255,5
"[the Sequence]",254,5
"The Lost Heir: The Fall of Daria",253,5
SelfieCity,252,5
"Instaflash Pro",249,5
"Galactic Nemesis",247,5
"The EO Bar",247,5
"Rusty Lake Hotel",235,5
"Green the Planet 2",233,5
"Picolo drinking game",227,5
"MacMoji ™  by Conor McGregor",223,5
驾考宝典-2017最新考驾照驾校学车驾考通,208,5
"Green Eggs and Ham - Read & Learn - Dr. Seuss",207,5
"Never Hillary Clinton",207,5
MUSYNX,197,5
鬼畜-一亿人都在用的聊天必备神器!,193,5
Urlaubspiraten,188,5
"Sun Surveyor - Sun & Moon Visualization Tool",183,5
"Pythonista 3",180,5
"Alliance Wars: World Domination",176,5
"Adventure To Fate : Quest To The Future JRPG",175,5
武林群侠传—经典单机武侠RPG,166,5
"Bitauto Autoprice",157,5
"The Lost Treasure",155,5
"Dungeons of Chaos UNITY EDITION",148,5
"Shin Megami Tensei (ENG)",147,5
"Galileo Organ",135,5
"机票、火车票、汽车票预定助手 for 铁路12306",128,5
"Tomb Journey (Ancient ruins fantasy adventure)",126,5
"Cursive Writing Wizard - Kids Learn to Write Letters & Words",121,5
"Return to Grisly Manor",116,5
"GameDay Pro Football Radio - Live Games, Scores, Highlights, News, Stats, and Schedules",113,5
"The Lost Heir 2: Forging a Kingdom",111,5
"SkySafari 5 Plus",108,5
"Rogue Ninja",99,5
"Giant Turnip Game: A Voyage Of Vegetable Extraction!",89,5
更加令人感动的养成游戏「昭和杂货店物语２」,87,5
"Heuristic Shakespeare - The Tempest",85,5
